"FrP" "Skepsis" "Utjevn" "Inntekt" "Utdanning" "Kvinne"
"1" 1 3 2 6 9 0
"4" 0 5 2 1 13 0
"5" 1 4 2 3 12 0
"7" 0 5.33333333333333 3 3 10 1
"10" 0 4.66666666666667 2 1 13 1
"12" 1 7.33333333333333 5 7 14 1
"14" 1 3.33333333333333 2 9 12 0
"15" 1 4 3 6 14 1
"17" 0 4.66666666666667 3 4 14 1
"21" 0 5.33333333333333 2 6 16 1
"32" 1 5.33333333333333 1 3 13 1
"33" 1 5 4 3 9 1
"35" 1 5 2 1 10 1
"36" 1 5.66666666666667 2 5 10 0
"46" 0 2.66666666666667 3 6 17 0
"47" 0 5.66666666666667 4 6 10 1
"48" 0 5.33333333333333 3 6 10 1
"49" 1 6 3 2 16 0
"54" 0 6.66666666666667 3 7 16 1
"55" 0 4.33333333333333 4 8 14 1
"57" 1 4.66666666666667 4 1 16 0
"64" 0 2.33333333333333 2 3 14 1
"66" 0 7.33333333333333 2 8 12 0
"67" 0 4.33333333333333 2 10 13 1
"70" 0 4 3 4 12 0
"76" 0 5 3 7 16 1
"81" 1 6.33333333333333 2 3 9 1
"87" 1 5.66666666666667 2 2 10 1
"88" 0 2.66666666666667 3 4 12 1
"90" 1 4.33333333333333 1 2 10 0
"105" 1 4 3 4 14 0
"107" 0 4 3 6 13 0
"109" 0 3.66666666666667 3 8 13 0
"110" 0 2.66666666666667 3 4 14 0
"112" 0 3.33333333333333 3 3 18 1
"114" 1 7 3 3 12 0
"115" 1 5.33333333333333 2 5 15 0
"118" 0 4 4 7 20 1
"122" 1 6 3 6 18 1
"125" 0 3 4 10 13 0
"128" 0 2.66666666666667 4 10 16 0
"129" 0 4.33333333333333 2 3 15 1
"132" 0 2.66666666666667 3 8 16 0
"138" 0 2.33333333333333 4 2 15 0
"143" 0 4.66666666666667 3 5 11 0
"145" 0 6.66666666666667 4 8 13 0
"146" 0 4.66666666666667 3 4 12 1
"149" 0 5 4 9 17 1
"150" 0 5.66666666666667 4 10 17 0
"152" 0 2.66666666666667 2 5 18 0
"154" 0 6 3 7 16 0
"156" 0 4.66666666666667 3 5 18 1
"157" 0 3.33333333333333 2 10 16 1
"158" 1 6.33333333333333 2 5 12 1
"159" 0 4 4 8 17 0
"164" 0 4.66666666666667 3 6 22 1
"165" 0 3.66666666666667 4 8 16 1
