"Parti" "Inntekt" "Utdanning" "Kvinne" "Innvandrer" "Skepsis" "KultSkepsis" "TaJobber" "TaSkatt" "Belastning" "Arbeidsledig" "Begrenset" "IngenKontrakt" "Prekaritet"
"1" "FRP" 6 9 0 0 3 7.33333333333333 6 10 5 0 0 0 0
"2" "A" 2 14 1 0 4.66666666666667 5.33333333333333 7 4 5 0 0 0 0
"3" "KRF" 2 17 1 0 5.33333333333333 8.33333333333333 7 2 5 0 0 0 0
"4" "H" 1 13 0 0 5 7 5 5 5 0 0 0 0
"5" "FRP" 3 12 0 0 4 6 8 3 7 0 0 0 0
"6" "A" 8 20 0 1 6.33333333333333 3.33333333333333 6 0 5 0 0 0 0
"7" "H" 3 10 1 0 5.33333333333333 6 5 5 4 0 0 0 0
"8" NA 4 9 0 1 5.33333333333333 5.33333333333333 5 5 4 0 NA NA NA
"9" "A" 7 19 0 0 4.66666666666667 5.33333333333333 6 5 5 0 0 0 0
"10" "H" 1 13 1 1 4.66666666666667 5 6 3 7 0 0 1 1
"11" NA 2 8 1 0 7.66666666666667 6.33333333333333 2 5 0 0 0 1 1
"12" "FRP" 7 14 1 0 7.33333333333333 5.33333333333333 2 1 5 0 0 0 0
"13" NA 9 8 1 0 5 5.66666666666667 7 3 5 0 0 1 1
"14" "FRP" 9 12 0 0 3.33333333333333 3.66666666666667 6 6 8 1 0 0 1
"15" "FRP" 6 14 1 0 4 4.66666666666667 5 6 7 0 0 0 0
"16" "A" 6 7 0 0 4 5.33333333333333 5 5 8 0 1 0 1
"17" "H" 4 14 1 0 4.66666666666667 5 5 5 6 0 0 0 0
"18" "A" 2 10 1 0 7.66666666666667 9.33333333333333 5 2 0 0 0 0 0
"19" "KRF" 7 12 1 0 5 5.66666666666667 5 5 5 0 NA NA NA
"20" NA 2 12 0 0 7.66666666666667 4.66666666666667 5 2 0 0 1 0 1
"21" "H" 6 16 1 0 5.33333333333333 6.33333333333333 4 5 5 0 0 0 0
"22" NA 5 15 0 0 3 5 6 7 8 0 0 0 0
"23" NA NA 12 1 1 6 5 4 3 5 0 0 0 0
"24" NA 1 7 1 1 9.5 7.66666666666667 NA 0 1 0 0 0 0
"25" "MDG" 3 18 0 0 2 4.66666666666667 7 10 7 0 0 0 0
"26" "A" 3 12 0 0 7 8 4 3 2 0 0 0 0
"27" NA 1 17 0 1 3.33333333333333 5.66666666666667 6 6 8 1 1 0 1
"28" "A" 6 18 0 0 3 3.33333333333333 7 5 9 0 1 0 1
"29" "MDG" 3 17 0 0 4 4.66666666666667 7 4 7 0 NA NA NA
"30" "A" 3 15 0 1 2 3.66666666666667 8 8 8 0 0 0 0
"31" "SV" 10 23 1 1 3.66666666666667 2.66666666666667 5 8 6 0 0 0 0
"32" "FRP" 3 13 1 1 5.33333333333333 5.66666666666667 8 3 3 0 1 0 1
"33" "FRP" 3 9 1 0 5 7.33333333333333 9 3 3 0 0 1 1
"34" "A" 3 9 1 0 5 6.33333333333333 5 5 5 0 0 0 0
"35" "FRP" 1 10 1 0 5 4.66666666666667 5 5 5 0 0 0 0
"36" "FRP" 5 10 0 0 5.66666666666667 8 6 3 4 0 0 0 0
"37" NA 8 18 0 1 5.33333333333333 6 3 4 7 0 0 0 0
"38" NA 2 13 0 1 6 5.66666666666667 2 6 4 0 0 0 0
"39" "A" 7 16 0 0 2.66666666666667 4 7 7 8 0 0 0 0
"40" NA 3 13 1 0 4.66666666666667 4.33333333333333 5 6 5 0 1 0 1
"41" "MDG" 1 17 1 0 1.33333333333333 2.66666666666667 9 8 9 0 1 0 1
"42" NA 8 13 1 0 3.33333333333333 4.66666666666667 7 6 7 1 0 1 1
"43" "A" 6 13 0 0 5.66666666666667 7 5 5 3 0 0 0 0
"44" "SP" 8 17 0 0 4.66666666666667 7.66666666666667 7 2 7 0 0 0 0
"45" "A" 6 15 0 0 3.66666666666667 3.66666666666667 6 6 7 0 0 0 0
"46" "H" 6 17 0 0 2.66666666666667 3.33333333333333 8 5 9 0 0 0 0
"47" "H" 6 10 1 0 5.66666666666667 6 5 5 3 0 0 1 1
"48" "H" 6 10 1 0 5.33333333333333 6 5 5 4 0 0 1 1
"49" "FRP" 2 16 0 0 6 7.66666666666667 5 2 5 0 1 0 1
"50" "A" 2 8 0 0 3.33333333333333 5 8 5 7 0 0 0 0
"51" "Other" 10 20 0 1 2 3 7 7 10 0 1 0 1
"52" "A" 5 13 1 0 5.33333333333333 6.33333333333333 5 5 4 0 0 0 0
"53" "KRF" 2 17 1 0 4 4 5 5 8 0 0 0 0
"54" "H" 7 16 1 0 6.66666666666667 6 5 3 2 0 0 0 0
"55" "H" 8 14 1 0 4.33333333333333 5.33333333333333 7 5 5 1 0 0 1
"56" "A" 1 12 1 0 3.33333333333333 5 7 8 5 0 0 0 0
"57" "FRP" 1 16 0 0 4.66666666666667 5.33333333333333 7 4 5 0 NA NA NA
"58" "A" 4 13 1 0 3.66666666666667 5 6 5 8 0 0 0 0
"59" "SV" 8 19 1 0 3 3 7 6 8 0 0 0 0
"60" "MDG" 2 9 0 0 3 4 8 6 7 0 NA NA NA
"61" "A" 4 9 1 0 4.66666666666667 5.66666666666667 7 4 5 0 0 0 0
"62" "A" 9 17 0 0 4.66666666666667 5.33333333333333 8 2 6 0 0 0 0
"63" NA 4 12 1 0 2.33333333333333 4.33333333333333 9 7 7 0 0 0 0
"64" "H" 3 14 1 0 2.33333333333333 5 8 8 7 0 0 0 0
"65" NA NA 10 1 0 4.66666666666667 5.66666666666667 6 5 5 0 0 1 1
"66" "H" 8 12 0 0 7.33333333333333 6.66666666666667 4 2 2 0 0 0 0
"67" "H" 10 13 1 0 4.33333333333333 4 7 5 5 0 0 0 0
"68" NA 6 12 0 0 4 3 5 5 8 0 1 0 1
"69" NA 2 13 0 0 2.33333333333333 5.33333333333333 8 7 8 0 0 0 0
"70" "H" 4 12 0 1 4 7.66666666666667 9 3 6 0 0 0 0
"71" "KRF" 1 14 1 1 5.33333333333333 3.66666666666667 6 5 3 0 1 0 1
"72" "A" 2 10 0 0 5 6 5 5 5 1 0 0 1
"73" NA 5 12 0 0 6.66666666666667 6.66666666666667 3 2 5 0 0 0 0
"74" NA 2 11 0 0 3 5 7 7 7 0 NA NA NA
"75" "KRF" 2 13 1 0 4.33333333333333 4 6 5 6 0 0 0 0
"76" "H" 7 16 1 0 5 5.33333333333333 5 5 5 0 0 0 0
"77" "SP" 3 12 0 0 7.33333333333333 7.33333333333333 3 2 3 0 0 0 0
"78" "KRF" 2 9 1 1 5.66666666666667 5.33333333333333 5 3 5 0 0 0 0
"79" NA 2 13 1 0 2.66666666666667 3.33333333333333 8 6 8 1 1 0 1
"80" "KRF" 5 14 0 0 5.33333333333333 7.33333333333333 4 4 6 0 0 0 0
"81" "FRP" 3 9 1 0 6.33333333333333 6.66666666666667 3 5 3 0 0 0 0
"82" NA 3 12 1 1 3 5.33333333333333 8 5 8 0 NA NA NA
"83" NA 3 19 0 1 3.33333333333333 6 7 8 5 0 0 0 0
"84" "SP" 3 11 0 0 6.33333333333333 6.33333333333333 4 1 6 0 0 1 1
