"Skepsis" "KultSkepsis" "Prekaritet" "Utdanning" "Inntekt" "SubjektivInntekt" "Innvandrer" "Kvinne" "Alder" "Alder2" "TV" "TVpol"
"1" 3 7.33333333333333 0 9 6 3 0 0 43 1849 7 3
"2" 4.66666666666667 5.33333333333333 0 14 2 1 0 1 46 2116 4 1
"3" 5.33333333333333 8.33333333333333 0 17 2 3 0 1 37 1369 4 1
"4" 5 7 0 13 1 1 0 0 20 400 0 NA
"5" 4 6 0 12 3 3 0 0 74 5476 7 5
"6" 6.33333333333333 3.33333333333333 0 20 8 3 1 0 39 1521 1 1
"7" 5.33333333333333 6 0 10 3 3 0 1 82 6724 5 3
"8" 5.33333333333333 5.33333333333333 NA 9 4 2 1 0 15 225 0 NA
"9" 4.66666666666667 5.33333333333333 0 19 7 2 0 0 42 1764 2 2
"10" 4.66666666666667 5 1 13 1 1 1 1 26 676 5 3
"11" 7.66666666666667 6.33333333333333 1 8 2 3 0 1 64 4096 6 1
"12" 7.33333333333333 5.33333333333333 0 14 7 3 0 1 43 1849 2 2
"13" 5 5.66666666666667 1 8 9 3 0 1 87 7569 6 6
"14" 3.33333333333333 3.66666666666667 1 12 9 3 0 0 59 3481 7 3
"15" 4 4.66666666666667 0 14 6 3 0 1 21 441 2 0
"16" 4 5.33333333333333 1 7 6 1 0 0 62 3844 3 1
"17" 4.66666666666667 5 0 14 4 1 0 1 24 576 5 1
"18" 7.66666666666667 9.33333333333333 0 10 2 2 0 1 52 2704 4 2
"19" 5 5.66666666666667 NA 12 7 3 0 1 63 3969 4 4
"20" 7.66666666666667 4.66666666666667 1 12 2 2 0 0 21 441 1 0
"21" 5.33333333333333 6.33333333333333 0 16 6 2 0 1 36 1296 6 2
"22" 3 5 0 15 5 3 0 0 43 1849 4 3
"23" 6 5 0 12 NA 3 1 1 18 324 2 2
"24" NA 7.66666666666667 0 7 1 2 1 1 85 7225 7 4
"25" 2 4.66666666666667 0 18 3 3 0 0 44 1936 2 1
"26" 7 8 0 12 3 3 0 0 62 3844 7 2
"27" 3.33333333333333 5.66666666666667 1 17 1 0 1 0 54 2916 7 7
"28" 3 3.33333333333333 1 18 6 3 0 0 26 676 2 2
"29" 4 4.66666666666667 NA 17 3 3 0 0 26 676 1 1
"30" 2 3.66666666666667 0 15 3 2 1 0 33 1089 1 1
"31" 3.66666666666667 2.66666666666667 0 23 10 3 1 1 58 3364 0 NA
"32" 5.33333333333333 5.66666666666667 1 13 3 2 1 1 22 484 2 1
"33" 5 7.33333333333333 1 9 3 3 0 1 58 3364 7 3
"34" 5 6.33333333333333 0 9 3 3 0 1 73 5329 7 3
"35" 5 4.66666666666667 0 10 1 2 0 1 58 3364 5 5
"36" 5.66666666666667 8 0 10 5 3 0 0 73 5329 5 3
"37" 5.33333333333333 6 0 18 8 2 1 0 30 900 2 2
"38" 6 5.66666666666667 0 13 2 2 1 0 23 529 2 1
"39" 2.66666666666667 4 0 16 7 3 0 0 56 3136 3 2
"40" 4.66666666666667 4.33333333333333 1 13 3 3 0 1 31 961 2 1
"41" 1.33333333333333 2.66666666666667 1 17 1 2 0 1 25 625 2 1
"42" 3.33333333333333 4.66666666666667 1 13 8 3 0 1 18 324 3 1
"43" 5.66666666666667 7 0 13 6 3 0 0 60 3600 4 1
"44" 4.66666666666667 7.66666666666667 0 17 8 3 0 0 23 529 2 1
"45" 3.66666666666667 3.66666666666667 0 15 6 3 0 0 60 3600 7 5
"46" 2.66666666666667 3.33333333333333 0 17 6 2 0 0 37 1369 3 2
"47" 5.66666666666667 6 1 10 6 2 0 1 19 361 2 0
"48" 5.33333333333333 6 1 10 6 2 0 1 20 400 2 1
"49" 6 7.66666666666667 1 16 2 3 0 0 81 6561 2 2
"50" 3.33333333333333 5 0 8 2 3 0 0 74 5476 5 3
